HIVER 2021;82213032;BLAZER FEMME;Blazer long.;Blazer long avec col à revers, manches longues et épaules marquées,-deux poches avant à rabat, fermeture à boutonnage croisé sur le deva-Disponible en deux couleurs;VESTE;RETRO STYLISE;DAME;DAME RESERVE;;OUTWEAR;SPORT CHIC;DECOUPE;UNI;VIDE;BLAZER;;ESSENTIEL;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4230000719213;XXS;CAMELLE;139.900;;0.000
HIVER 2021;82213032;BLAZER FEMME;Blazer long.;Blazer long avec col à revers, manches longues et épaules marquées,-deux poches avant à rabat, fermeture à boutonnage croisé sur le deva-Disponible en deux couleurs;VESTE;RETRO STYLISE;DAME;DAME RESERVE;;OUTWEAR;SPORT CHIC;DECOUPE;UNI;VIDE;BLAZER;;ESSENTIEL;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4230000781364;XXS;BEIGE FONCE;139.900;;0.000
HIVER 2021;82213032;BLAZER FEMME;Blazer long.;Blazer long avec col à revers, manches longues et épaules marquées,-deux poches avant à rabat, fermeture à boutonnage croisé sur le deva-Disponible en deux couleurs;VESTE;RETRO STYLISE;DAME;DAME RESERVE;;OUTWEAR;SPORT CHIC;DECOUPE;UNI;VIDE;BLAZER;;ESSENTIEL;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4230000719220;XS;CAMELLE;139.900;;0.000
HIVER 2021;82213032;BLAZER FEMME;Blazer long.;Blazer long avec col à revers, manches longues et épaules marquées,-deux poches avant à rabat, fermeture à boutonnage croisé sur le deva-Disponible en deux couleurs;VESTE;RETRO STYLISE;DAME;DAME RESERVE;;OUTWEAR;SPORT CHIC;DECOUPE;UNI;VIDE;BLAZER;;ESSENTIEL;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4230000781371;XS;BEIGE FONCE;139.900;;0.000
HIVER 2021;82213032;BLAZER FEMME;Blazer long.;Blazer long avec col à revers, manches longues et épaules marquées,-deux poches avant à rabat, fermeture à boutonnage croisé sur le deva-Disponible en deux couleurs;VESTE;RETRO STYLISE;DAME;DAME RESERVE;;OUTWEAR;SPORT CHIC;DECOUPE;UNI;VIDE;BLAZER;;ESSENTIEL;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4230000719237;S;CAMELLE;139.900;;1.000
HIVER 2021;82213032;BLAZER FEMME;Blazer long.;Blazer long avec col à revers, manches longues et épaules marquées,-deux poches avant à rabat, fermeture à boutonnage croisé sur le deva-Disponible en deux couleurs;VESTE;RETRO STYLISE;DAME;DAME RESERVE;;OUTWEAR;SPORT CHIC;DECOUPE;UNI;VIDE;BLAZER;;ESSENTIEL;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4230000781388;S;BEIGE FONCE;139.900;;12.000
HIVER 2021;82213032;BLAZER FEMME;Blazer long.;Blazer long avec col à revers, manches longues et épaules marquées,-deux poches avant à rabat, fermeture à boutonnage croisé sur le deva-Disponible en deux couleurs;VESTE;RETRO STYLISE;DAME;DAME RESERVE;;OUTWEAR;SPORT CHIC;DECOUPE;UNI;VIDE;BLAZER;;ESSENTIEL;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4230000719244;M;CAMELLE;139.900;;5.000
HIVER 2021;82213032;BLAZER FEMME;Blazer long.;Blazer long avec col à r82213032evers, manches longues et épaules marquées,-deux poches avant à rabat, fermeture à boutonnage croisé sur le deva-Disponible en deux couleurs;VESTE;RETRO STYLISE;DAME;DAME RESERVE;;OUTWEAR;SPORT CHIC;DECOUPE;UNI;VIDE;BLAZER;;ESSENTIEL;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4230000781395;M;BEIGE FONCE;139.900;;31.000
HIVER 2021;82213032;BLAZER FEMME;Blazer long.;Blazer long avec col à revers, manches longues et épaules marquées,-deux poches avant à rabat, fermeture à boutonnage croisé sur le deva-Disponible en deux couleurs;VESTE;RETRO STYLISE;DAME;DAME RESERVE;;OUTWEAR;SPORT CHIC;DECOUPE;UNI;VIDE;BLAZER;;ESSENTIEL;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4230000719251;L;CAMELLE;139.900;;8.000
HIVER 2021;82213032;BLAZER FEMME;Blazer long.;Blazer long avec col à revers, manches longues et épaules marquées,-deux poches avant à rabat, fermeture à boutonnage croisé sur le deva-Disponible en deux couleurs;VESTE;RETRO STYLISE;DAME;DAME RESERVE;;OUTWEAR;SPORT CHIC;DECOUPE;UNI;VIDE;BLAZER;;ESSENTIEL;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4230000781401;L;BEIGE FONCE;139.900;;32.000
