82222002;30%
82224001;30%
82229037;30%
82229004;30%
82223001;30%
82229008;30%
82226004;30%
82222008;30%
82226002;30%
82221016;30%
82229018;30%
82221025;30%
82226032;30%
82221017;30%
82221021;30%
82221014;30%
82226232;30%
82221008;30%
82229009;30%
82229007;30%
82221221;30%
82229025;30%
82221026;30%
82221028;30%
82221034;30%
82221216;30%
82229209;30%
82221050;30%
82221003;30%
82229029;30%
82229035;30%
82221019;30%
82229023;30%
82221001;30%
82221020;30%
82229014;30%
82221007;30%
82226201;30%
82224002;30%
82221024;30%
82229001;30%
82221027;30%
82221011;30%
82229024;30%
82221038;30%
82229220;30%
82221043;30%
82221010;30%
82222001;30%
82226005;30%
82229017;30%
82226001;30%
82229020;30%
82221005;30%
82221009;30%
82229005;30%
82221908;30%
82226020;30%
82229027;30%
82229036;30%
82229039;30%
82221031;30%
82229042;30%
82221032;30%
82221039;30%
82224004;30%
82221030;30%
82221022;30%
82229045;30%
82221051;30%
82229012;30%
82224012;30%
82226030;30%
82229021;30%
82226012;30%
82221035;30%
82229033;30%
82221905;30%
82229026;30%
82223007;30%
82229201;30%
82226018;30%
82229032;30%
82226023;30%
82226021;30%
82229022;30%
82226039;30%
82221903;30%
82224018;30%
82229051;30%
82221906;30%
82221033;30%
82223033;30%
82226033;30%
82221059;30%
82221029;30%
82229031;30%
82229060;30%
82221065;30%
82226010;30%
82222004;30%
82224025;30%
82225006;30%
82229030;30%
82223002;30%
82226011;30%
82223005;30%
82229019;30%
82224008;30%
82226006;30%
82225005;30%
82226014;30%
82224005;30%
82223226;30%
82229248;30%
82225009;30%
82229011;30%
82223004;30%
82226036;30%
82224014;30%
82225002;30%
82223018;30%
82229048;30%
82224003;30%
82223026;30%
82226008;30%
82224009;30%
82226016;30%
82229050;30%
82223003;30%
82229010;30%
82229016;30%
82229028;30%
82223006;30%
82221023;30%
89223901;30%
89224002;30%
89225001;30%
89226001;30%
89226002;30%
82221052;30%
82221912;30%
82226050;30%
82228004;30%
82229063;30%
82229232;30%
82223023;30%
82221310;30%
82221919;30%
82226034;30%
82229056;30%
82229229;30%
82223008;30%
82223012;30%
82223903;30%
82224016;30%
82224019;30%
82224902;30%
82225001;30%
82226022;30%
82226041;30%
82228003;30%
82228006;30%
82221046;30%
82223011;30%
82224011;30%
82224031;30%
82225014;30%
82226028;30%
82226031;30%
82228002;30%
82229049;30%
83224003;30%
83225001;30%
83225003;30%
83226001;30%
83229003;30%
83229203;30%
