82221071;20;43.9
82221915;20;39.9
82221920;20;55.9
82221921;20;55.9
82221922;30;48.9
82223001;30;55.9
82223016;30;62.9
82223035;20;67.9
82223903;20;59.9
82223904;20;63.9
82223906;30;62.9
82223908;20;63.9
82223909;30;55.9
82224017;20;67.9
82224023;20;103.9
82224036;20;79.9
82224038;20;67.9
82224231;20;55.9
82225008;20;63.9
82225010;20;55.9
82225014;30;52.4
82225015;20;55.9
82225219;20;55.9
82226037;20;103.9
82226043;20;55.9
82226049;20;63.9
82226055;20;63.9
82229034;20;59.9
82229069;20;63.9
82229070;20;63.9
82229075;20;47.9
82221081;30;34.9
82221086;20;31.9
82223047;20;131.9
82225023;20;51.9
82226066;20;47.9
82226266;20;55.9
82227001;20;71.9
82228009;20;39.9
82229233;20;47.9
82229274;20;39.9
82225022;30;45.4
82221082;20;14.3
82223017;30;97.9
82223043;20;135.9
82223045;20;71.9
82223048;20;109.9
82224045;20;95.9
82225003;20;59.9
82225019;20;55.9
82225020;20;55.9
82225219;20;55.9
82226052;20;59.9
82228011;30;38.4
82229081;20;55.9
82223049;30;90.9
82223054;30;45.4
82224042;20;95.9
82225018;20;67.9
82226056;30;62.9
82226067;20;55.9
82228012;30;38.4
82229085;20;55.9
