HIVER 2021;82210002;SAC FEMME;;Sac avec lacet--;SAC;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;LACET;VIDE;;SAC;IMPERMIABLE;;CHAINE ET TRAME;;EXTRA;4,23E+12;STD;VERT MILITAIRE;19.900;;79.000
HIVER 2021;82210002;SAC FEMME;;Sac avec lacet--;SAC;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;LACET;VIDE;;SAC;IMPERMIABLE;;CHAINE ET TRAME;;EXTRA;4,23E+12;STD;BLEU NUIT;19.900;;80.000
HIVER 2021;82210002;SAC FEMME;;Sac avec lacet--;SAC;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;LACET;VIDE;;SAC;IMPERMIABLE;;CHAINE ET TRAME;;EXTRA;4,23E+12;STD;SAUMON;19.900;;71.000
HIVER 2021;82210003;FOULARD FEMME;;Foulard carre--;FOULARD;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;SAC;SATIN;;;;EXTRA;4,23E+12;STD;BEIGE/ROUILLE/ORANGE;0.000;;0.000
HIVER 2021;82210004;SAC FEMME;;Sac cabas rectongulaire avec poche interne--;SAC;BACK TO SCHOOL;DAME;JUNIOR RESERVE;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;SAC;;;;;EXTRA;4,23E+12;STD;BLEU JEAN;36.057;;0.000
HIVER 2021;82210005;CEINTURE FEMME;;Ceinture femme--;CEINTURE;ACCESSOIRE;DAME;DAME;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;CEINTURE;;ESSENTIEL;;;ACCESSOIRE;4,23E+12;STD;CAMELLE;0.000;;0.000
HIVER 2021;82210006;SAC DE SHOOPING;;Sac de shooping modulable et pratique--;SAC;ACCESSOIRE;DAME;JUNIOR RESERVE;;ACCESSOIRE;SPORT;SERIGRAPHIE;VIDE;;SAC;;ANIME;;;ACCESSOIRE;4,23E+12;STD;NOIR;0.000;;0.000
HIVER 2021;82210007;SAC SHOOPING;;Sac de shooping rectongulaire avec pochette pratique-.-;SAC;ACCESSOIRE;DAME;JUNIOR;;ACCESSOIRE;SPORT;POCHETTE;VIDE;;SAC;;ANIME;;;ACCESSOIRE;4,23E+12;STD;NOIR;0.000;;0.000
HIVER 2021;82210008;CEINTURE FEMME;;Ceinture similicuir nouée.--;CEINTURE;ACCESSOIRE;DAME;DAME;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;CEINTURE;SIMILICUIR;;;;ACCESSOIRE;4,23E+12;XXS;CAMELLE;9.900;;0.000
HIVER 2021;82210008;CEINTURE FEMME;;Ceinture similicuir nouée.--;CEINTURE;ACCESSOIRE;DAME;DAME;;ACCESSOIRE;SPORT;SANS DETAIL;VIDE;;CEINTURE;SIMILICUIR;;;;ACCESSOIRE;4,23E+12;XS;CAMELLE;9.900;;0.000
