HIVER 2021;82213011;PARKA FEMME;Parka à capuche en forrure .;Parka rombouré à cappuche en forrure, découpes sur le devant et deux-poches à rabat .Fermeture et boutons éclair.Elastique de ceintrage do-;MANTEAU;PATREMOIN;DAME;JUNIOR RESERVE;;OUTWEAR;SPORT;CAPPUCHE;UNI;VIDE;PARKA;IMPERMIABLE;;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4,23E+12;L;NOIR;189.900;;32.000
HIVER 2021;82213011;PARKA FEMME;Parka à capuche en forrure .;Parka rombouré à cappuche en forrure, découpes sur le devant et deux-poches à rabat .Fermeture et boutons éclair.Elastique de ceintrage do-;MANTEAU;PATREMOIN;DAME;JUNIOR RESERVE;;OUTWEAR;SPORT;CAPPUCHE;UNI;VIDE;PARKA;IMPERMIABLE;;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4,23E+12;L;VERT MILITAIRE;189.900;;32.000
HIVER 2021;82213011;PARKA FEMME;Parka à capuche en forrure .;Parka rombouré à cappuche en forrure, découpes sur le devant et deux-poches à rabat .Fermeture et boutons éclair.Elastique de ceintrage do-;MANTEAU;PATREMOIN;DAME;JUNIOR RESERVE;;OUTWEAR;SPORT;CAPPUCHE;UNI;VIDE;PARKA;IMPERMIABLE;;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4,23E+12;L;VANILLE;189.900;;33.000
HIVER 2021;82213011;PARKA FEMME;Parka à capuche en forrure .;Parka rombouré à cappuche en forrure, découpes sur le devant et deux-poches à rabat .Fermeture et boutons éclair.Elastique de ceintrage do-;MANTEAU;PATREMOIN;DAME;JUNIOR RESERVE;;OUTWEAR;SPORT;CAPPUCHE;UNI;VIDE;PARKA;IMPERMIABLE;;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4,23E+12;XL;NOIR;189.900;;9.000
HIVER 2021;82213011;PARKA FEMME;Parka à capuche en forrure .;Parka rombouré à cappuche en forrure, découpes sur le devant et deux-poches à rabat .Fermeture et boutons éclair.Elastique de ceintrage do-;MANTEAU;PATREMOIN;DAME;JUNIOR RESERVE;;OUTWEAR;SPORT;CAPPUCHE;UNI;VIDE;PARKA;IMPERMIABLE;;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4,23E+12;XL;VERT MILITAIRE;189.900;;16.000
HIVER 2021;82213011;PARKA FEMME;Parka à capuche en forrure .;Parka rombouré à cappuche en forrure, découpes sur le devant et deux-poches à rabat .Fermeture et boutons éclair.Elastique de ceintrage do-;MANTEAU;PATREMOIN;DAME;JUNIOR RESERVE;;OUTWEAR;SPORT;CAPPUCHE;UNI;VIDE;PARKA;IMPERMIABLE;;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4,23E+12;XL;VANILLE;189.900;;15.000
HIVER 2021;82213011;PARKA FEMME;Parka à capuche en forrure .;Parka rombouré à cappuche en forrure, découpes sur le devant et deux-poches à rabat .Fermeture et boutons éclair.Elastique de ceintrage do-;MANTEAU;PATREMOIN;DAME;JUNIOR RESERVE;;OUTWEAR;SPORT;CAPPUCHE;UNI;VIDE;PARKA;IMPERMIABLE;;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4,23E+12;XXL;NOIR;189.900;;0.000
HIVER 2021;82213011;PARKA FEMME;Parka à capuche en forrure .;Parka rombouré à cappuche en forrure, découpes sur le devant et deux-poches à rabat .Fermeture et boutons éclair.Elastique de ceintrage do-;MANTEAU;PATREMOIN;DAME;JUNIOR RESERVE;;OUTWEAR;SPORT;CAPPUCHE;UNI;VIDE;PARKA;IMPERMIABLE;;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4,23E+12;XXL;VERT MILITAIRE;189.900;;0.000
HIVER 2021;82213011;PARKA FEMME;Parka à capuche en forrure .;Parka rombouré à cappuche en forrure, découpes sur le devant et deux-poches à rabat .Fermeture et boutons éclair.Elastique de ceintrage do-;MANTEAU;PATREMOIN;DAME;JUNIOR RESERVE;;OUTWEAR;SPORT;CAPPUCHE;UNI;VIDE;PARKA;IMPERMIABLE;;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4,23E+12;XXL;VANILLE;189.900;;0.000
HIVER 2021;82213011;PARKA FEMME;Parka à capuche en forrure .;Parka rombouré à cappuche en forrure, découpes sur le devant et deux-poches à rabat .Fermeture et boutons éclair.Elastique de ceintrage do-;MANTEAU;PATREMOIN;DAME;JUNIOR RESERVE;;OUTWEAR;SPORT;CAPPUCHE;UNI;VIDE;PARKA;IMPERMIABLE;;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4,23E+12;XXXL;NOIR;189.900;;0.000
HIVER 2021;82213011;PARKA FEMME;Parka à capuche en forrure .;Parka rombouré à cappuche en forrure, découpes sur le devant et deux-poches à rabat .Fermeture et boutons éclair.Elastique de ceintrage do-;MANTEAU;PATREMOIN;DAME;JUNIOR RESERVE;;OUTWEAR;SPORT;CAPPUCHE;UNI;VIDE;PARKA;IMPERMIABLE;;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4,23E+12;XXXL;VERT MILITAIRE;189.900;;0.000
HIVER 2021;82213011;PARKA FEMME;Parka à capuche en forrure .;Parka rombouré à cappuche en forrure, découpes sur le devant et deux-poches à rabat .Fermeture et boutons éclair.Elastique de ceintrage do-;MANTEAU;PATREMOIN;DAME;JUNIOR RESERVE;;OUTWEAR;SPORT;CAPPUCHE;UNI;VIDE;PARKA;IMPERMIABLE;;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4,23E+12;XXXL;VANILLE;189.900;;0.000
