82221019;0.601202
82221031;0.601002
82221045;0.501002
82221069;0.400802
82221071;0.601093
82221081;0.501002
82221089;0.300860
82221911;0.501114
82221919;0.600924
82221922;0.600858
82223008;0.600601
82223016;0.600667
82223017;0.500357
82223043;0.500294
82223045;0.500556
82223047;0.600364
82223054;0.600924
82223206;0.400501
82224011;0.500417
82224031;0.600858
82224034;0.500715
82224042;0.500417
82224052;0.400534
82224056;0.500770
82224058;0.400572
82224231;0.600858
82225014;0.500668
82225015;0.600858
82225020;0.500715
82226022;0.500626
82226028;0.600707
82226036;0.600858
82226037;0.500385
82226049;0.600751
82226056;0.600667
82226067;0.500715
82226247;0.400286
82228001;0.501002
82228003;0.500835
82228004;0.601504
82228006;0.601002
82228009;0.501002
82228011;0.500911
82228012;0.601093
82228014;0.604027
82229055;0.500668
82229056;0.600801
82229066;0.400668
82229069;0.600751
82229075;0.601002
82229077;0.500715
82229084;0.500626
82229211;0.500715
82229232;0.600858
83221005;0.400668
83223004;0.400308
83225004;0.500589
89224002;0.600924
82221022;0.500770
83224008;0.500589
82223035;0.500589
82221088;0.400572
82229274;0.501002
83229003;0.600924
89229001;0.501433
82224025;0.600751
82225019;0.500715
82226036;0.600858
82226018;0.600858
82226031;0.500668
