id,Title,Content,Excerpt,Date,"Image Featured","Image Title","Image Alt Text",Catégories,Étiquettes,"Reference Families",Services,clientName,urlWebSite,slide_template,WebSiteType,createdDate,gallery,youtube,taches_bd,taches
1515,"Création d'un site web pour : Planete Informatique","<strong>Création d'un site web E-commerce</strong> pour la société Planete informatique.<br>
Planete informatique est un site e-commerce spécialisé dans la vente en ligne de matériel informatique, des smartphones et accessoires informatique.<br>
Avec plus que 900 produits, Planete informatique met à la disposition de ses clients une large gamme de produits et d'accessoires et assure sa livraison sur toute la Tunisie","Planete informatique est un site e-commerce spécialisé dans la vente en ligne de matériel informatique, des smartphones et accessoires informatique.",2020-03-27,http://hypermedia.com.tn/wp-content/uploads/2020/03/Planet-informatique-min.jpg,Planet-informatique-min,,,,"Site web","Site Web",https://planete-informatique.tn/planet-xp/wp-content/uploads/2019/08/logoPlqnet.png,planete-informatique.tn,,"Site web E-commerce",2019,,,"<div class=""row"">
  <div class=""col-md-12"">
    <h3 class=""titre_single_"">
    Les taches <span>effectuées</span>
    </h3>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-lightbulb""></span>
    </div>
    <p>Conseil et stratégie digitale</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-startup""></span>
    </div>
    <p>Référencement (SEO)</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-smartphone1""></span>
    </div>
    <p>Full responsive design</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-pen""></span>
    </div>
    <p>Conception graphique et ergonomique</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-e-learning""></span>
    </div>
    <p>Intégration E-catalogue</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-website""></span>
    </div>
    <p>Intégration CMS</p>
  </div>
",
1517,"Création d'un site web pour : Bhavani Pack","<strong>Création d'un site web vitirne</strong> pour la société Bhavani Tech Pack.<br>
Bhavani Tech Pack est l'un des principaux producteurs indiens et mondiaux d'emballages, de pâtes et papiers, avec 1 000 employés gérant sa dynamique commerciale et ses intérêts dans tout le pays.","Création d'un site web pour Bhavani Tech Pack, producteur indien et international d'emballages , de pâtes et papiers et de fibres cellulosiques.",2020-03-27,http://hypermedia.com.tn/wp-content/uploads/2020/03/Bhavani-techpack-min.jpg,Bhavani-techpack-min,Bhavani-techpack,,,"Site web","Site Web",http://hypermedia.com.tn/wp-content/uploads/2020/03/bhavani-logo.png,bhavanitechpack.com,default,"Site web vitrine",2019,,,"<div class=""row"">
  <div class=""col-md-12"">
    <h3 class=""titre_single_"">
    Les taches <span>effectuées</span>
    </h3>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-lightbulb""></span>
    </div>
    <p>Conseil et stratégie digitale</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-startup""></span>
    </div>
    <p>Référencement (SEO)</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-smartphone1""></span>
    </div>
    <p>Full responsive design</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-pen""></span>
    </div>
    <p>Conception graphique et ergonomique</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-e-learning""></span>
    </div>
    <p>Intégration E-catalogue</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-website""></span>
    </div>
    <p>Intégration CMS</p>
  </div>
",
1519,"Création d'un site web pour : Pépinière El amen","<strong>Création d'un site web catalogue</strong> pour la société Pépinière El amen.<br>
Pépinière El amen est une pépinière spécialiste dans la distribution des meilleurs plants d’oliviers, Fruitiers et d’agrumes. Son objectif est d'êtres pionnier en proposant des variétés innovantes et d’offrir à ses clients une qualité génétique et sanitaire parfaite.","Création d'un site web pour Pépinière El amen. spécialiste dans la distribution des meilleurs plants d’oliviers, fruitiers et d’agrumes dans toute la Tunisie.",2020-03-27,http://hypermedia.com.tn/wp-content/uploads/2020/03/pepinere-el-amen-min.jpg,pepinere-el-amen-min,,,,"Site web","Site Web",http://pepiniere-elamen.com/wp-content/uploads/2019/09/logo-2.png,pepiniere-elamen.com,default,"Site web catalogue",2019,,,"<div class=""row"">
  <div class=""col-md-12"">
    <h3 class=""titre_single_"">
    Les taches <span>effectuées</span>
    </h3>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-lightbulb""></span>
    </div>
    <p>Conseil et stratégie digitale</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-startup""></span>
    </div>
    <p>Référencement (SEO)</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-smartphone1""></span>
    </div>
    <p>Full responsive design</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-pen""></span>
    </div>
    <p>Conception graphique et ergonomique</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-e-learning""></span>
    </div>
    <p>Intégration E-catalogue</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-website""></span>
    </div>
    <p>Intégration CMS</p>
  </div>
",
1524,"Création d'un site web pour : Shopline","<strong>Création d'un site web E-commerce</strong> pour la société Shopline.<br>
Shopline est un site de vente en ligne d'épiceries, des produits frais et des produits d’hygiène et assure sa distribution dans la région de Sfax - Tunisie  ","Shopline est un site de vente en ligne d'épiceries, des produits frais et des produits d’hygiène et assure sa distribution dans la région de Sfax - Tunisie  ",2020-03-27,http://hypermedia.com.tn/wp-content/uploads/2020/03/shopline-min.jpg,shopline-min,shopline,,,"Site web","Site Web",http://shopline.tn/wp-content/uploads/2019/07/logo.png,shopline.tn,default,"Site web E-commerce",2019,,,"<div class=""row"">
  <div class=""col-md-12"">
    <h3 class=""titre_single_"">
    Les taches <span>effectuées</span>
    </h3>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-lightbulb""></span>
    </div>
    <p>Conseil et stratégie digitale</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-startup""></span>
    </div>
    <p>Référencement (SEO)</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-smartphone1""></span>
    </div>
    <p>Full responsive design</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-pen""></span>
    </div>
    <p>Conception graphique et ergonomique</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-e-learning""></span>
    </div>
    <p>Intégration E-catalogue</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-website""></span>
    </div>
    <p>Intégration CMS</p>
  </div>
",
1526,"Création d'un site web pour : Besbes Aluminium","<strong>Création d'un site web vitrine</strong> pour la société Besbes Aluminium.<br>
La société Besbes Aluminium est une menuiserie aluminium spécialisée dans la fabrication et de la pose des portes et fenêtres métallique en aluminium depuis l’année 2000","Création site web pour la société Besbes Aluminium, spécialiste dans la fabrication et de la pose des portes et fenêtres métallique en aluminium depuis l’année 2000.",2020-03-27,http://hypermedia.com.tn/wp-content/uploads/2020/03/ALU-Slim-besbes-min.jpg,ALU-Slim-besbes-min,ALU-Slim-besbes,,,"Site web","Site Web",https://besbes-aluminium.tn/wp-content/themes/besbes/img-besbes/logo-ste-besbess.png,besbes-aluminium.tn,default,"Site web vitrine",2019,,,"<div class=""row"">
  <div class=""col-md-12"">
    <h3 class=""titre_single_"">
    Les taches <span>effectuées</span>
    </h3>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-lightbulb""></span>
    </div>
    <p>Conseil et stratégie digitale</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-startup""></span>
    </div>
    <p>Référencement (SEO)</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-smartphone1""></span>
    </div>
    <p>Full responsive design</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-pen""></span>
    </div>
    <p>Conception graphique et ergonomique</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-e-learning""></span>
    </div>
    <p>Intégration E-catalogue</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-website""></span>
    </div>
    <p>Intégration CMS</p>
  </div>
",
1528,"Création d'un site web pour : Ceylan","<strong>Création d'un site web vitrine</strong> pour la société Ceylan.<br>
Ceylan est une marque leader sur le marché local dans la technique de production d’eau chaude depuis 2010, Ceylan fabrique des produits fiables et éprouvés avec un objectif de fournir un produit de qualité avec un prix convenable.","Ceylan est une marque leader sur le marché local dans la technique de production d’eau chaude depuis 2010.",2020-03-27,http://hypermedia.com.tn/wp-content/uploads/2020/03/Cyelan-min.jpg,Cyelan-min,,,,"Site web","Site Web",http://hypermedia.com.tn/wp-content/uploads/2020/03/ceylan-logo.png,ceylan.tn,default,"Site web vitrine",2019,,,"<div class=""row"">
  <div class=""col-md-12"">
    <h3 class=""titre_single_"">
    Les taches <span>effectuées</span>
    </h3>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-lightbulb""></span>
    </div>
    <p>Conseil et stratégie digitale</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-startup""></span>
    </div>
    <p>Référencement (SEO)</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-smartphone1""></span>
    </div>
    <p>Full responsive design</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-pen""></span>
    </div>
    <p>Conception graphique et ergonomique</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-e-learning""></span>
    </div>
    <p>Intégration E-catalogue</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-website""></span>
    </div>
    <p>Intégration CMS</p>
  </div>
",
1531,"Création d'un site web pour : Irec","<strong>Création d'un site web dynamique </strong> pour Irec.<br>
Le Congrès International des Énergies Renouvelables (IREC) fournit un forum pour les chercheurs, les académiciens, les scientifiques et les professionnels de l'industrie à travers le monde sur les développements récents dans les domaines des énergies renouvelables.
","IREC fournit un forum pour les chercheurs, les académiciens, les scientifiques et les professionnels de l'industrie à travers le monde sur les développements récents dans les domaines des énergies renouvelables.",2020-03-27,http://hypermedia.com.tn/wp-content/uploads/2020/03/IREC-min.jpg,IREC-min,,,,"Site web","Site Web",https://irec-conference.com/wp-content/uploads/2019/04/irec_2020.png,irec-conference.com,default,"Site web dynamique",2019,,,"<div class=""row"">
  <div class=""col-md-12"">
    <h3 class=""titre_single_"">
    Les taches <span>effectuées</span>
    </h3>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-lightbulb""></span>
    </div>
    <p>Conseil et stratégie digitale</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-startup""></span>
    </div>
    <p>Référencement (SEO)</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-smartphone1""></span>
    </div>
    <p>Full responsive design</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-pen""></span>
    </div>
    <p>Conception graphique et ergonomique</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-e-learning""></span>
    </div>
    <p>Intégration E-catalogue</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-website""></span>
    </div>
    <p>Intégration CMS</p>
  </div>
",
1533,"Création d'un site web pour : Vera nature","<strong>Création d'un site web E-commerce pour</strong> Vera Nature.<br>
Vera nature est un boutique en ligne qui met à la disposition de ses clients une diversité de produits de beauté naturels, des compléments alimentaires naturels pour son bien-être.","Développement site web E-commerce pour Vera nature, boutique de produits de beauté naturels, des compléments alimentaires naturels et de huiles essentielles en Tunisie.",2020-03-27,http://hypermedia.com.tn/wp-content/uploads/2020/03/Verra-Nature-min.jpg,Verra-Nature-min,,,,"Site web","Site Web",https://vera-nature.com/wp-content/uploads/2013/06/logo_vernature.png,vera-nature.com,default,"Site web E-commerce",2019,,,"<div class=""row"">
  <div class=""col-md-12"">
    <h3 class=""titre_single_"">
    Les taches <span>effectuées</span>
    </h3>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-lightbulb""></span>
    </div>
    <p>Conseil et stratégie digitale</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-startup""></span>
    </div>
    <p>Référencement (SEO)</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-smartphone1""></span>
    </div>
    <p>Full responsive design</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-pen""></span>
    </div>
    <p>Conception graphique et ergonomique</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-e-learning""></span>
    </div>
    <p>Intégration E-catalogue</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-website""></span>
    </div>
    <p>Intégration CMS</p>
  </div>
",
1535,"Création d'un site web pour : ITC","<strong>Création d'un site web vitrine pour le centre de formation</strong> ITC.<br>
ITC est un centre de formation spécialisé dans la sécurité en mer aux normes internationales, travaillant dans l'industrie du pétrole et du gaz offshore et onshore.","La réalisation d'un site web vitrine pour le centre de formation ITC. Centre accrédité internationalement spécialisé dans la sécurité et la survie en mer et la formation maritime.",2020-03-28,http://hypermedia.com.tn/wp-content/uploads/2020/03/ITC-min.jpg,ITC-min,,,,"Site web","Site Web",https://www.itc-tunisia.net/wp-content/uploads/2018/02/logo_itc.png,www.itc-tunisia.net,default,"Site web vitrine",2018,,,"<div class=""row"">
  <div class=""col-md-12"">
    <h3 class=""titre_single_"">
    Les taches <span>effectuées</span>
    </h3>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-lightbulb""></span>
    </div>
    <p>Conseil et stratégie digitale</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-startup""></span>
    </div>
    <p>Référencement (SEO)</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-smartphone1""></span>
    </div>
    <p>Full responsive design</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-pen""></span>
    </div>
    <p>Conception graphique et ergonomique</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-e-learning""></span>
    </div>
    <p>Intégration E-catalogue</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-website""></span>
    </div>
    <p>Intégration CMS</p>
  </div>
",
1537,"Création d'un site web pour :  IPSAS","<strong>Création d'un site web dynamique pour</strong> IPSAS.<br>
IPSAS est un institut privé basé à Sfax, offre une variété des formations de préparatoires et de cycles d'ingénieurs pour les nouveaux bacheliers.  ","Le développement du site web pour l'institut polytechnique des sciences avancées à Sfax Ipsas. Un institut privé qui offre une variété des formations de préparatoires et de cycles d'ingénieurs en Tunisie.  ",2020-03-28,http://hypermedia.com.tn/wp-content/uploads/2020/03/IPSAS-min.jpg,IPSAS-min,,,,"Site web","Site Web",https://ipsas-ens.net/wp-content/themes/ipsas/images/ipsas/ipsas_logo.png,ipsas-ens.net,default,"Site web dynamique",2017,,,"<div class=""row"">
  <div class=""col-md-12"">
    <h3 class=""titre_single_"">
    Les taches <span>effectuées</span>
    </h3>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-lightbulb""></span>
    </div>
    <p>Conseil et stratégie digitale</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-startup""></span>
    </div>
    <p>Référencement (SEO)</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-smartphone1""></span>
    </div>
    <p>Full responsive design</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-pen""></span>
    </div>
    <p>Conception graphique et ergonomique</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-e-learning""></span>
    </div>
    <p>Intégration E-catalogue</p>
  </div>
  <div class=""col-md-4 project_service"">
    <div class=""iconhy text-center"">
      <span class=""hyperfont-website""></span>
    </div>
    <p>Intégration CMS</p>
  </div>
",
