HIVER 2020;82200009T;CEINTURE FEMME;Ceinture avec boucle argent .;Ceinture avec boucle argent martele--;CEINTURE;ACCESSOIRE;DAME;JUNIOR;;BAS;SPORT;BOUCLE;UNI;CEINTURE;;;;;;;4230000674529;36;CAMELLE;16.900;;42.000
HIVER 2020;82200009T;CEINTURE FEMME;Ceinture avec boucle argent .;Ceinture avec boucle argent martele--;CEINTURE;ACCESSOIRE;DAME;JUNIOR;;BAS;SPORT;BOUCLE;UNI;CEINTURE;;;;;;;4230000674567;44;CAMELLE;16.900;;32.000
HIVER 2020;82200001T;ECHARPE FEMME;Echarpe uni .;Echarpe uni disponible en plusieurs couleurs .;ECHARPE;ACCESSOIRE;DAME;DAME RESERVE;BASIQUE;HAUT;SPORT;SANS DETAIL;UNI;HAUT;;;;;;;4230000605455;STD;CAMELLE;19.900;;144.000
HIVER 2021;82219008T;LEGGING FEMME;Legging en similicuir à découpe.;Legging taille normale.Fausses poches passepoilées avant. Zip sur le-côté.-;LEGGING;PRESSED FLOWER;DAME;DAME;;BAS;SPORT;POCHE;UNI;SKINNY FIT;LEGGING;SIMILICUIR;ESSENTIEL;CHAINE ET TRAME;SLIM FIT;COLLECTION;4230000717974;38;CAMELLE;64.900;;0.000
HIVER 2021;82219008T;LEGGING FEMME;Legging en similicuir à découpe.;Legging taille normale.Fausses poches passepoilées avant. Zip sur le-côté.-;LEGGING;PRESSED FLOWER;DAME;DAME;;BAS;SPORT;POCHE;UNI;SKINNY FIT;LEGGING;SIMILICUIR;ESSENTIEL;CHAINE ET TRAME;SLIM FIT;COLLECTION;4230000717998;42;CAMELLE;64.900;;2.000
