HIVER 2020;82200009;CEINTURE FEMME;Ceinture avec boucle argent .;Ceinture avec boucle argent martele--;CEINTURE;ACCESSOIRE;DAME;JUNIOR;;BAS;SPORT;BOUCLE;UNI;CEINTURE;;;;;;;4230000674529;36;CAMELLE;16.900;;42.000
HIVER 2020;82200009;CEINTURE FEMME;Ceinture avec boucle argent .;Ceinture avec boucle argent martele--;CEINTURE;ACCESSOIRE;DAME;JUNIOR;;BAS;SPORT;BOUCLE;UNI;CEINTURE;;;;;;;4230000674567;44;CAMELLE;16.900;;32.000
HIVER 2020;82200001;ECHARPE FEMME;Echarpe uni .;Echarpe uni disponible en plusieurs couleurs .;ECHARPE;ACCESSOIRE;DAME;DAME RESERVE;BASIQUE;HAUT;SPORT;SANS DETAIL;UNI;HAUT;;;;;;;4230000605455;STD;CAMELLE;19.900;;144.000
HIVER 2021;82219008;LEGGING FEMME;Legging en similicuir à découpe.;Legging taille normale.Fausses poches passepoilées avant. Zip sur le-côté.-;LEGGING;PRESSED FLOWER;DAME;DAME;;BAS;SPORT;POCHE;UNI;SKINNY FIT;LEGGING;SIMILICUIR;ESSENTIEL;CHAINE ET TRAME;SLIM FIT;COLLECTION;4230000717974;38;CAMELLE;64.900;;0.000
HIVER 2021;82219008;LEGGING FEMME;Legging en similicuir à découpe.;Legging taille normale.Fausses poches passepoilées avant. Zip sur le-côté.-;LEGGING;PRESSED FLOWER;DAME;DAME;;BAS;SPORT;POCHE;UNI;SKINNY FIT;LEGGING;SIMILICUIR;ESSENTIEL;CHAINE ET TRAME;SLIM FIT;COLLECTION;4230000717998;42;CAMELLE;64.900;;2.000
HIVER 2021;82219008;LEGGING FEMME;Legging en similicuir à découpe.;Legging taille normale.Fausses poches passepoilées avant. Zip sur le-côté.-;LEGGING;PRESSED FLOWER;DAME;DAME;;BAS;SPORT;POCHE;UNI;SKINNY FIT;LEGGING;SIMILICUIR;ESSENTIEL;CHAINE ET TRAME;SLIM FIT;COLLECTION;4230000718001;44;CAMELLE;64.900;;7.000
HIVER 2021;82219008;LEGGING FEMME;Legging en similicuir à découpe.;Legging taille normale.Fausses poches passepoilées avant. Zip sur le-côté.-;LEGGING;PRESSED FLOWER;DAME;DAME;;BAS;SPORT;POCHE;UNI;SKINNY FIT;LEGGING;SIMILICUIR;ESSENTIEL;CHAINE ET TRAME;SLIM FIT;COLLECTION;4230000718018;46;CAMELLE;64.900;;4.000
HIVER 2021;82211905;PULL FEMME;Pull basique à col roulé.;Pull en maille à col montant et manches longues.Finitions côtelées.--;PULL/SWEAT;MINIMALISTE FLOWER;DAME;JUNIOR;;HAUT;SPORT;COL;UNI;VIDE;PULL;;ESSENTIEL;LAINE;SLIM FIT;COLLECTION;4230000699539;XXS;CAMELLE;49.900;;0.000
HIVER 2021;82211905;PULL FEMME;Pull basique à col roulé.;Pull en maille à col montant et manches longues.Finitions côtelées.--;PULL/SWEAT;MINIMALISTE FLOWER;DAME;JUNIOR;;HAUT;SPORT;COL;UNI;VIDE;PULL;;ESSENTIEL;LAINE;SLIM FIT;COLLECTION;4230000699546;XS;CAMELLE;49.900;;0.000
HIVER 2021;82211905;PULL FEMME;Pull basique à col roulé.;Pull en maille à col montant et manches longues.Finitions côtelées.--;PULL/SWEAT;MINIMALISTE FLOWER;DAME;JUNIOR;;HAUT;SPORT;COL;UNI;VIDE;PULL;;ESSENTIEL;LAINE;SLIM FIT;COLLECTION;4230000699553;S;CAMELLE;49.900;;0.000
HIVER 2021;82211905;PULL FEMME;Pull basique à col roulé.;Pull en maille à col montant et manches longues.Finitions côtelées.--;PULL/SWEAT;MINIMALISTE FLOWER;DAME;JUNIOR;;HAUT;SPORT;COL;UNI;VIDE;PULL;;ESSENTIEL;LAINE;SLIM FIT;COLLECTION;4230000699560;M;CAMELLE;49.900;;1.000
HIVER 2021;82211905;PULL FEMME;Pull basique à col roulé.;Pull en maille à col montant et manches longues.Finitions côtelées.--;PULL/SWEAT;MINIMALISTE FLOWER;DAME;JUNIOR;;HAUT;SPORT;COL;UNI;VIDE;PULL;;ESSENTIEL;LAINE;SLIM FIT;COLLECTION;4230000699577;L;CAMELLE;49.900;;0.000
HIVER 2021;82211905;PULL FEMME;Pull basique à col roulé.;Pull en maille à col montant et manches longues.Finitions côtelées.--;PULL/SWEAT;MINIMALISTE FLOWER;DAME;JUNIOR;;HAUT;SPORT;COL;UNI;VIDE;PULL;;ESSENTIEL;LAINE;SLIM FIT;COLLECTION;4230000699584;XL;CAMELLE;49.900;;0.000
HIVER 2021;82211905;PULL FEMME;Pull basique à col roulé.;Pull en maille à col montant et manches longues.Finitions côtelées.--;PULL/SWEAT;MINIMALISTE FLOWER;DAME;JUNIOR;;HAUT;SPORT;COL;UNI;VIDE;PULL;;ESSENTIEL;LAINE;SLIM FIT;COLLECTION;4230000699591;XXL;CAMELLE;49.900;;0.000
HIVER 2021;82211905;PULL FEMME;Pull basique à col roulé.;Pull en maille à col montant et manches longues.Finitions côtelées.--;PULL/SWEAT;MINIMALISTE FLOWER;DAME;JUNIOR;;HAUT;SPORT;COL;UNI;VIDE;PULL;;ESSENTIEL;LAINE;SLIM FIT;COLLECTION;4230000699607;XXXL;CAMELLE;49.900;;0.000
HIVER 2021;82213015;BLOUSON FEMME;Veste en cuir synthétique  .;Blouson avec col à revers et manches longues.Fermeture par zip en-métal sur le devant .-;MANTEAU;LE MINIMALISME;DAME;JUNIOR;;OUTWEAR;SPORT;POCHE;UNI;VIDE;BLOUSON;SIMILICUIR;;CHAINE ET TRAME;REGULAR FIT;COLLECTION;4230000700754;S;CAMELLE;149.900;;7.000
